,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
688286,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688287,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688294,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
688295,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688306,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
688310,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688324,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
688333,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688362,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688413,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
688415,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688418,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688433,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688437,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688447,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688474,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688476,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
688483,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688489,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688492,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688517,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688521,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688525,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
688536,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688538,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688539,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
688542,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
688544,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688560,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
688567,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688569,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688572,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688578,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
688588,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
688606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
688616,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688627,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688687,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688702,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
