,AccountId,Score,Percentage
572,562374,10,47.61904762
573,562440,5,23.80952381
574,562792,18,85.71428571
575,563084,21,100.0
576,563574,7,33.33333333
577,564071,9,42.85714286
578,564339,6,28.57142857
579,564579,21,100.0
580,564594,5,23.80952381
581,564918,6,28.57142857
582,565207,20,95.23809524
583,565315,6,28.57142857
584,565321,6,28.57142857
585,565326,7,33.33333333
586,565418,21,100.0
587,565952,8,38.0952381
588,566221,7,33.33333333
589,566658,5,23.80952381
590,567558,16,76.19047619
591,567643,15,71.42857143
592,567683,6,28.57142857
593,567841,14,66.66666667
594,569621,10,47.61904762
595,570128,16,76.19047619
596,570256,5,23.80952381
597,570328,20,95.23809524
598,570826,6,28.57142857
599,570909,5,23.80952381
601,571347,9,42.85714286
602,571369,6,28.57142857
604,571524,6,28.57142857
605,571804,10,47.61904762
606,571819,6,28.57142857
607,571850,8,38.0952381
608,571938,8,38.0952381
609,572581,8,38.0952381
610,572623,7,33.33333333
611,572851,8,38.0952381
612,572902,21,100.0
613,573184,6,28.57142857
614,573900,10,47.61904762
615,575013,12,57.14285714
616,575447,14,66.66666667
617,575764,8,38.0952381
618,575804,21,100.0
620,576666,10,47.61904762
621,576731,18,85.71428571
622,577035,5,23.80952381
623,577931,21,100.0
624,578110,8,38.0952381
625,578593,9,42.85714286
626,578640,7,33.33333333
627,578997,6,28.57142857
628,579045,21,100.0
629,580015,21,100.0
630,580229,17,80.95238095
631,580431,11,52.38095238
632,580481,21,100.0
633,580626,4,19.04761905
634,580755,8,38.0952381
635,580934,6,28.57142857
636,580981,21,100.0
637,581315,21,100.0
638,581428,10,47.61904762
639,581926,6,28.57142857
640,582672,7,33.33333333
641,582674,8,38.0952381
642,583193,0,0.0
643,583660,6,28.57142857
644,583821,10,47.61904762
645,583863,5,23.80952381
646,584737,21,100.0
647,585147,21,100.0
648,585222,15,71.42857143
649,585282,7,33.33333333
650,585645,6,28.57142857
651,585784,6,28.57142857
652,586000,6,28.57142857
653,586765,6,28.57142857
654,587432,5,23.80952381
655,587510,6,28.57142857
656,587684,6,28.57142857
657,587714,21,100.0
658,587935,21,100.0
659,588011,12,57.14285714
660,588330,9,42.85714286
661,588644,21,100.0
662,588670,9,42.85714286
663,589882,6,28.57142857
664,589997,8,38.0952381
665,590599,8,38.0952381
666,590605,9,42.85714286
667,591055,9,42.85714286
668,591139,8,38.0952381
669,591346,11,52.38095238
670,591564,6,28.57142857
671,591765,4,19.04761905
672,591827,10,47.61904762
673,591870,10,47.61904762
674,591988,6,28.57142857
675,592469,6,28.57142857
676,593921,21,100.0
677,594237,7,33.33333333
678,594453,4,19.04761905
679,594541,11,52.38095238
680,594765,10,47.61904762
681,595155,9,42.85714286
