AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AnswerTypeId,TotalResponses,CorrectResponses,ReactionTime,BonusAwards,Level,FailedLevels
693061,5,150,7,700,46.66666667,0,2025-10-09 15:42:03,4,,,,0,7,"8:1:3,8:2:6,8:3:4,9:1:5,9:2:6,9:3:7"
693061,5,150,7,700,46.66666667,0,2025-10-09 15:42:03,6,,,,0,,
693285,5,150,8,700,53.33333333,0,2025-10-09 13:54:42,2,18,7,,,,
693285,5,150,8,700,53.33333333,0,2025-10-09 13:54:42,3,,,3.6065,,,
693285,5,150,8,700,53.33333333,0,2025-10-09 13:54:42,4,,,,0,8,"6:1:5,6:2:6,6:3:4,8:1:2,8:2:6,9:1:7,9:2:4,9:3:6,10:1:9,10:2:3,10:3:3"
693285,5,150,8,700,53.33333333,0,2025-10-09 13:54:42,6,,,,0,,
693115,5,150,10,1000,66.66666667,0,2025-10-09 13:29:20,2,17,10,,,,
693115,5,150,10,1000,66.66666667,0,2025-10-09 13:29:20,3,,,2.80015,,,
693115,5,150,10,1000,66.66666667,0,2025-10-09 13:29:20,4,,,,0,10,"9:1:9,11:1:4,11:2:6,11:3:10,12:1:9,12:2:4,12:3:7"
693115,5,150,10,1000,66.66666667,0,2025-10-09 13:29:20,6,,,,0,,
641246,5,150,8,800,53.33333333,0,2025-10-09 13:22:49,2,14,8,,,,
641246,5,150,8,800,53.33333333,0,2025-10-09 13:22:49,3,,,3.059642857,,,
641246,5,150,8,800,53.33333333,0,2025-10-09 13:22:49,4,,,,0,8,"9:1:8,9:2:6,9:3:6,10:1:7,10:2:1,10:3:4"
641246,5,150,8,800,53.33333333,0,2025-10-09 13:22:49,6,,,,0,,
693202,5,150,6,600,40,0,2025-10-09 13:14:22,2,12,6,,,,
693202,5,150,6,600,40,0,2025-10-09 13:14:22,3,,,3.0416,,,
693202,5,150,6,600,40,0,2025-10-09 13:14:22,4,,,,0,6,"7:1:7,7:2:4,7:3:5,8:1:8,8:2:3,8:3:0"
693202,5,150,6,600,40,0,2025-10-09 13:14:22,6,,,,0,,
693079,5,150,7,700,46.66666667,0,2025-10-09 13:06:02,2,14,7,,,,
693079,5,150,7,700,46.66666667,0,2025-10-09 13:06:02,3,,,3.105,,,
693079,5,150,7,700,46.66666667,0,2025-10-09 13:06:02,4,,,,0,7,"6:1:6,8:1:8,8:2:2,8:3:8,9:1:4,9:2:5,9:3:6"
693079,5,150,7,700,46.66666667,0,2025-10-09 13:06:02,6,,,,0,,
693063,5,150,5,500,33.33333333,0,2025-10-09 11:52:31,2,11,5,,,,
693063,5,150,5,500,33.33333333,0,2025-10-09 11:52:31,3,,,2.979,,,
693063,5,150,5,500,33.33333333,0,2025-10-09 11:52:31,4,,,,0,5,"6:1:5,6:2:2,6:3:3,7:1:5,7:2:4,7:3:1"
693063,5,150,5,500,33.33333333,0,2025-10-09 11:52:31,6,,,,0,,
693060,5,150,5,500,33.33333333,0,2025-10-09 11:48:03,2,17,5,,,,
693060,5,150,5,500,33.33333333,0,2025-10-09 11:48:03,3,,,6.1582,,,
693060,5,150,5,500,33.33333333,0,2025-10-09 11:48:03,4,,,,0,5,"1:1:0,1:2:1,3:1:3,3:2:2,5:1:3,5:2:2,6:1:3,6:2:3,6:3:1,7:1:4,7:2:4,7:3:2"
693060,5,150,5,500,33.33333333,0,2025-10-09 11:48:03,6,,,,0,,
693061,5,150,7,700,46.66666667,0,2025-10-09 11:46:56,2,16,7,,,,
693061,5,150,7,700,46.66666667,0,2025-10-09 11:46:56,3,,,4.1405,,,
693061,5,150,7,700,46.66666667,0,2025-10-09 11:46:56,4,,,,0,7,"6:1:6,6:2:6,7:1:6,8:1:8,8:2:5,8:3:6,9:1:6,9:2:4,9:3:3"
693061,5,150,7,700,46.66666667,0,2025-10-09 11:46:56,6,,,,0,,
693058,5,150,9,700,60,0,2025-10-09 11:41:43,2,23,7,,,,
693058,5,150,9,700,60,0,2025-10-09 11:41:43,3,,,2.5805,,,
693058,5,150,9,700,60,0,2025-10-09 11:41:43,4,,,,0,9,"6:1:2,6:2:4,6:3:5,7:1:6,7:2:6,8:1:5,8:2:3,8:3:4,9:1:8,9:2:6,10:1:5,10:2:2,10:3:3,11:1:5,11:2:3,11:3:5"
693058,5,150,9,700,60,0,2025-10-09 11:41:43,6,,,,0,,
685072,5,150,8,800,53.33333333,0,2025-10-09 09:58:18,2,14,8,,,,
685072,5,150,8,800,53.33333333,0,2025-10-09 09:58:18,3,,,3.242769231,,,
685072,5,150,8,800,53.33333333,0,2025-10-09 09:58:18,4,,,,0,8,"9:1:4,9:2:2,9:3:1,10:1:2,10:2:4,10:3:5"
685072,5,150,8,800,53.33333333,0,2025-10-09 09:58:18,6,,,,0,,
692624,5,150,5,500,33.33333333,0,2025-10-09 09:51:58,2,11,5,,,,
692624,5,150,5,500,33.33333333,0,2025-10-09 09:51:58,3,,,4.882,,,
