participant_id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
692895,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647728,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702766,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
661227,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602294,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701568,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697068,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
693646,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703764,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
669481,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
354723,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700808,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671893,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691039,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661620,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694419,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670497,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435049,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
661665,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
659406,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662428,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
176775,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
692664,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
544729,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
680197,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605156,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687489,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
629425,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
670533,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695210,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702387,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
694156,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695645,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
676407,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627473,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
697338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662067,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680317,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
687147,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669243,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
692826,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679392,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
695255,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
686815,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
679084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
666337,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
